country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/25/2021,-46,-1,9,-41,-42,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/26/2021,-42,2,20,-34,-41,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/27/2021,-60,-10,40,-34,-18,10
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/28/2021,-57,-14,74,-31,-20,5
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/29/2021,-55,-20,133,-57,-57,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/30/2021,-50,3,170,-44,-50,13
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,3/31/2021,-51,4,156,-41,-50,11
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,4/1/2021,-52,3,100,-46,-52,14
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,4/2/2021,-55,4,28,-46,-52,16
BE,Belgium,Brussels,Brussels,,BE-BRU,,ChIJ_58PdIbEw0cRMIBML6uZAAE,4/3/2021,-58,-5,28,-33,-22,8
